RegionID,RegionName,SizeRank,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07
102001,United States,0,1327,1333,1338,1344,1349,1354,1360,1365,1371,1376,1381,1387,1392,1397,1403,1408,1413,1419,1424,1429,1434,1440,1445,1449,1454,1459,1463,1468,1472,1476,1480,1484,1488,1492,1495,1499,1503,1506,1510,1513,1517,1520,1524,1528,1531,1535,1539,1543,1548,1552,1557,1561,1566,1571,1575,1580,1585,1589,1594,1598,1603,1607,1612,1616,1621,1625,1630,1634,1638,1642,1645,1647,1650,1653,1655,1658,1660,1663,1665
394913,"New York, NY",1,2298,2307,2316,2325,2334,2343,2352,2361,2370,2379,2388,2397,2406,2415,2424,2432,2441,2449,2457,2464,2472,2479,2484,2490,2495,2499,2504,2508,2512,2515,2519,2522,2526,2529,2532,2535,2538,2541,2544,2547,2549,2551,2552,2554,2556,2557,2559,2562,2564,2567,2570,2573,2576,2580,2583,2587,2591,2595,2600,2605,2609,2615,2620,2625,2631,2637,2643,2647,2651,2655,2655,2654,2653,2652,2651,2650,2648,2646,2645
753899,"Los Angeles-Long Beach-Anaheim, CA",2,1836,1849,1862,1875,1887,1900,1913,1925,1938,1950,1962,1974,1986,1997,2008,2020,2031,2043,2055,2067,2079,2091,2102,2114,2126,2137,2148,2159,2169,2179,2190,2199,2209,2219,2228,2238,2247,2256,2265,2274,2283,2291,2299,2307,2315,2322,2330,2337,2345,2353,2361,2369,2377,2385,2393,2401,2408,2416,2423,2430,2437,2444,2450,2456,2462,2468,2475,2480,2485,2490,2493,2495,2498,2500,2503,2505,2507,2509,2511
394463,"Chicago, IL",3,1517,1521,1524,1528,1532,1536,1539,1543,1546,1550,1554,1557,1561,1565,1569,1573,1578,1583,1587,1592,1598,1603,1608,1613,1618,1622,1627,1631,1634,1637,1640,1643,1646,1649,1651,1654,1657,1659,1662,1664,1667,1669,1671,1673,1676,1678,1680,1682,1684,1687,1689,1691,1694,1696,1699,1702,1704,1707,1710,1714,1717,1720,1724,1728,1731,1735,1739,1742,1745,1748,1749,1749,1750,1751,1752,1753,1753,1754,1754
394514,"Dallas-Fort Worth, TX",4,1218,1224,1229,1235,1241,1247,1252,1258,1264,1270,1276,1282,1288,1294,1299,1305,1310,1316,1321,1326,1331,1336,1342,1347,1352,1358,1363,1369,1374,1380,1386,1391,1396,1402,1407,1412,1416,1421,1425,1430,1434,1438,1442,1446,1449,1453,1456,1460,1463,1466,1470,1473,1477,1480,1484,1488,1492,1495,1499,1503,1508,1511,1515,1519,1523,1527,1530,1533,1536,1540,1542,1543,1545,1547,1549,1551,1553,1554,1556
394974,"Philadelphia, PA",5,1345,1347,1350,1352,1355,1357,1360,1362,1365,1367,1370,1373,1376,1379,1382,1385,1388,1392,1395,1399,1402,1405,1409,1412,1415,1418,1421,1424,1428,1431,1435,1438,1441,1445,1447,1449,1452,1454,1455,1457,1459,1460,1462,1464,1465,1467,1470,1473,1476,1480,1483,1487,1491,1496,1500,1504,1508,1512,1516,1520,1524,1527,1531,1535,1538,1542,1546,1549,1552,1555,1557,1559,1561,1563,1566,1568,1570,1572,1573
394692,"Houston, TX",6,1278,1289,1299,1310,1321,1331,1341,1351,1361,1371,1378,1385,1392,1396,1401,1405,1409,1412,1416,1418,1420,1423,1424,1425,1426,1426,1426,1427,1426,1426,1426,1425,1424,1423,1422,1421,1420,1420,1419,1419,1420,1422,1423,1426,1429,1433,1437,1441,1445,1449,1452,1456,1458,1460,1462,1463,1463,1464,1465,1466,1467,1468,1469,1470,1472,1473,1475,1476,1477,1479,1479,1479,1479,1479,1479,1480,1480,1480,1480
395209,"Washington, DC",7,1873,1876,1880,1883,1886,1889,1893,1896,1899,1902,1905,1908,1910,1913,1915,1918,1921,1924,1927,1931,1934,1938,1941,1945,1948,1950,1953,1956,1958,1959,1961,1963,1965,1967,1969,1972,1974,1976,1978,1980,1982,1984,1986,1987,1989,1990,1993,1995,1997,2001,2004,2007,2011,2015,2019,2024,2028,2032,2037,2041,2045,2049,2053,2057,2061,2066,2070,2073,2076,2079,2079,2080,2081,2081,2082,2082,2082,2082,2083
394856,"Miami-Fort Lauderdale, FL",8,1581,1588,1596,1603,1611,1618,1626,1633,1641,1648,1656,1664,1671,1679,1686,1693,1701,1708,1716,1723,1730,1737,1743,1749,1755,1760,1765,1770,1773,1777,1780,1783,1785,1787,1789,1791,1793,1795,1797,1800,1802,1804,1806,1809,1812,1814,1818,1821,1825,1829,1833,1837,1842,1846,1850,1854,1858,1862,1865,1868,1872,1875,1878,1881,1884,1888,1891,1895,1899,1903,1905,1908,1911,1914,1917,1919,1922,1925,1927
394347,"Atlanta, GA",9,1149,1152,1156,1159,1163,1167,1170,1174,1178,1181,1186,1190,1195,1200,1205,1210,1216,1221,1226,1232,1237,1242,1248,1254,1260,1266,1273,1279,1285,1292,1298,1304,1310,1316,1321,1326,1331,1336,1341,1346,1352,1357,1362,1368,1374,1380,1386,1392,1398,1404,1411,1417,1425,1432,1439,1446,1454,1461,1468,1474,1481,1486,1492,1497,1502,1506,1511,1515,1519,1523,1526,1529,1533,1536,1540,1543,1546,1550,1553
